Pulse height	Charge integral
0.132901	199
0.028280	5
0.094828	113
0.163908	231
0.066142	13
0.056334	42
0.035662	5
0.093035	125
0.036506	47
0.058232	57
0.039881	59
0.056755	80
0.094828	104
0.031760	7
0.143764	213
0.052748	51
0.056966	80
0.119823	178
0.028174	9
0.069306	9
0.067829	81
0.152834	193
0.034608	9
0.034397	14
0.062240	79
0.063189	98
0.029862	5
0.099047	135
0.043572	7
0.034819	45
0.115605	204
0.035557	8
0.029229	19
0.059392	104
0.057072	10
0.068567	4
0.059919	10
0.134905	172
0.028807	15
0.032288	13
0.060447	68
0.105691	177
0.034291	23
0.062134	114
0.065193	112
0.112652	151
0.028174	2
0.036612	44
0.055912	71
0.036084	43
0.037561	42
0.154627	221
0.056650	10
0.097887	132
0.027753	31
0.029018	10
0.032182	4
0.030495	15
0.038194	28
0.035346	35
0.052431	9
0.040408	22
0.034713	19
0.125624	176
0.058654	72
0.050322	61
0.114761	32
0.031338	42
0.052220	56
0.042412	15
0.025116	8
0.104531	169
0.047369	78
0.053381	45
0.025960	5
0.046631	3
0.054541	59
0.042096	14
0.142287	193
0.039248	20
0.056861	87
0.038299	9
0.028702	17
0.057283	14
0.140284	169
0.119191	174
0.031760	18
0.083122	136
0.108750	171
0.126889	205
0.037350	5
0.045576	43
0.075739	57
0.082383	102
0.039565	40
0.116238	130
0.029229	26
0.064982	88
0.074052	144
0.029018	20
0.084704	118
0.030706	26
0.114972	161
0.043572	41
0.041358	44
0.056123	78
0.126257	220
0.034819	24
0.024905	31
0.041885	29
0.065193	45
0.025643	26
0.061607	90
0.034397	44
0.034819	7
0.055490	81
0.111281	156
0.026698	8
0.059603	64
0.098836	153
0.034924	11
0.060025	78
0.068462	90
0.056966	104
0.057494	79
0.036295	41
0.044732	6
0.047369	13
0.049689	54
0.136276	205
0.035030	21
0.071942	88
0.123198	111
0.135643	168
0.047053	36
0.031549	28
0.087024	148
0.024694	32
0.048846	12
0.032815	6
0.118241	141
0.157580	192
0.071415	106
0.029124	24
0.052115	52
0.111597	132
0.026487	14
0.036401	6
0.050006	11
0.100734	139
0.023956	30
0.031549	7
0.028491	34
0.124042	219
0.122882	174
0.069306	75
0.062661	5
0.057599	73
0.053802	18
0.114972	186
0.126784	176
0.047685	5
0.043783	48
0.126573	192
0.056123	7
0.048213	11
0.031444	6
0.024905	24
0.061923	9
0.032498	10
0.056650	59
0.108222	117
0.059603	79
0.025960	7
0.068989	112
0.095461	103
0.027014	18
0.136487	153
0.110121	151
0.081434	125
0.051588	59
0.039354	8
0.087551	26
0.080696	125
0.028385	14
0.087446	115
0.054752	73
0.027753	30
0.064876	95
0.036928	46
0.041779	51
0.033870	32
0.100523	135
0.031022	3
0.030178	36
0.030706	10
0.024905	4
0.055279	65
0.079958	96
0.027858	34
0.029651	17
0.051166	48
0.111281	172
0.077532	91
0.084282	83
0.033026	11
0.061079	82
0.054962	13
0.035241	17
0.058970	55
0.027647	5
0.046103	6
0.115183	140
0.047685	72
0.042307	12
0.089660	48
0.056439	59
0.034080	5
0.099363	165
0.056334	19
0.025854	26
0.070571	90
0.036295	23
0.034924	31
0.032709	9
0.056861	14
0.099785	128
0.027753	24
0.083122	132
0.099996	168
0.027858	15
0.061079	62
0.044416	67
0.027542	8
0.109593	182
0.126362	190
0.073841	86
0.082805	91
0.126257	187
0.117398	175
0.082489	109
0.032393	61
0.065825	55
0.049689	67
0.025221	10
0.063822	97
0.028596	13
0.164857	215
0.031971	37
0.032815	35
0.050533	70
0.025960	6
0.115394	199
0.045471	7
0.097465	112
0.142393	216
0.103582	152
