Pulse height	Charge integral
0.227608	304
0.209996	279
0.225921	308
0.313351	478
0.246592	324
0.219593	328
0.029967	26
0.035979	30
0.086180	135
0.242268	347
0.221913	340
0.231511	320
0.211578	343
0.230667	332
0.024694	24
0.024483	9
0.193860	315
0.218327	335
0.234147	329
0.213476	331
0.076794	8
0.040936	11
0.033870	14
0.032393	7
0.056439	10
0.203141	303
0.249650	331
0.045576	5
0.027120	17
0.153888	224
0.058865	12
0.190590	261
0.228030	345
0.251654	347
0.043045	3
0.031971	31
0.064032	107
0.055595	78
0.024483	4
0.209574	295
0.064665	6
0.038932	57
0.035662	6
0.066036	16
0.053486	49
0.260513	358
0.022374	3
0.043994	6
0.270216	370
0.036612	5
0.267369	339
0.102527	8
0.025010	35
0.026382	32
0.238788	326
0.039881	48
0.035557	42
0.026065	32
0.043045	6
0.243850	297
0.234253	306
0.110121	175
0.194071	333
0.223179	327
0.219277	286
0.042412	11
0.226870	324
0.219066	319
0.207254	298
0.073630	2
0.077321	83
0.234147	350
0.208625	321
0.030178	9
0.059603	74
0.186477	274
0.051588	18
0.030389	23
0.034080	10
0.214109	303
0.214109	315
0.250494	312
0.209468	281
0.252709	339
0.048846	60
0.270005	340
0.229507	301
0.191856	275
0.233198	330
0.091770	126
0.167599	280
0.175720	186
0.058865	23
0.251232	316
0.166650	282
0.208414	297
0.226132	349
0.262939	336
0.057283	52
0.028280	5
0.086391	129
0.033342	10
0.202508	319
0.076899	12
0.028491	19
0.031022	45
0.115605	147
0.233936	304
0.204090	306
0.032709	7
0.205039	313
0.034186	48
0.095672	117
0.127733	217
0.092297	119
0.096832	10
0.263045	351
0.031127	19
0.050217	45
0.262095	342
0.048635	30
0.236573	328
0.067407	22
0.230350	302
0.076266	109
0.046947	76
0.031655	32
0.106640	201
0.036717	34
0.275173	322
0.025960	13
0.233409	315
0.254080	352
0.191434	299
0.232565	292
0.119296	162
0.025538	7
0.240264	307
0.208519	278
0.221597	287
0.027753	16
0.027436	27
0.037877	43
0.025116	6
0.054435	73
0.232776	320
0.214214	298
0.060974	57
0.251022	321
0.036295	21
0.039037	5
0.058759	36
0.056544	8
0.032709	7
0.201137	318
0.251865	326
0.027331	30
0.059919	73
0.033342	57
0.035241	65
0.268951	353
0.030706	14
0.031971	8
0.076161	109
0.262306	355
0.220331	335
0.232776	304
0.199449	305
0.032288	16
0.225077	405
0.222230	300
0.061712	25
0.042412	55
0.211578	325
0.240791	338
0.208941	326
0.061501	10
0.037877	19
0.227186	343
0.045260	9
0.078903	77
0.043150	48
0.237417	310
0.201664	302
0.169181	234
0.210734	324
0.053064	57
0.191645	306
0.148193	264
0.242479	315
0.086496	105
0.076688	107
0.245643	351
0.093879	140
0.146717	282
0.241530	324
0.227503	378
0.034713	35
0.037772	16
0.225077	317
0.084493	17
0.088395	119
0.063927	2
0.028385	7
0.243112	362
0.254185	330
0.242901	319
0.025643	2
0.049267	53
0.189430	352
0.218749	292
0.026171	11
0.220964	377
0.032288	32
0.221491	318
0.031127	42
0.249018	355
0.025010	32
0.247647	337
0.024694	25
0.203984	321
0.033764	2
0.204090	301
0.234253	316
0.034713	12
0.233409	292
0.057599	80
0.259142	316
0.270427	336
0.238682	350
0.048213	3
0.030917	2
0.037772	47
0.205355	331
0.190485	31
0.114972	172
0.091770	101
0.127311	20
0.216429	278
0.090399	122
0.203879	313
0.274751	319
0.234042	281
0.208519	286
0.034819	13
0.060552	9
0.030495	18
0.104636	137
0.190063	284
0.054435	13
0.055279	4
0.040830	38
0.222124	336
0.027331	22
0.145979	168
0.258931	356
0.025538	35
0.260092	341
0.218960	298
0.184262	281
0.217062	310
0.215269	303
0.073735	117
0.230878	286
0.236889	308
0.030495	10
0.278970	345
0.236467	337
0.196074	308
0.098730	123
0.025643	36
0.186055	303
0.027647	16
0.054962	12
0.237100	348
0.265048	332
0.214847	296
0.025749	2
0.195547	320
0.211578	306
0.218327	336
0.228136	354
0.025643	28
0.248490	331
0.023429	3
0.221597	326
0.236467	334
0.066142	5
0.238049	318
0.038721	39
0.038932	51
0.254713	315
0.027858	13
0.218117	318
0.126468	212
0.028280	31
0.269372	345
0.031549	26
0.038826	15
0.059708	13
0.236467	334
0.277388	332
0.181309	310
0.223390	336
0.032182	23
0.111913	174
0.036401	7
0.175087	292
0.209574	322
0.236784	350
0.024483	19
0.202930	299
0.234569	307
0.044732	21
0.180993	295
0.054962	12
0.237733	345
0.041358	44
0.237100	305
0.212000	337
0.026382	28
0.210101	295
0.126257	139
0.256611	325
0.151041	203
0.218011	294
0.173610	285
0.209468	304
0.034819	6
0.157263	271
0.319996	347
0.234358	330
0.253025	340
0.029545	19
0.246908	318
0.052431	82
0.026909	8
0.218433	311
0.033237	28
0.279603	344
0.207043	328
0.249229	344
0.243006	337
0.030284	12
0.199027	269
0.071099	93
0.079641	17
0.025960	7
0.208308	296
0.237206	333
0.250494	293
0.276333	343
0.219488	343
0.041041	11
0.074579	12
0.025538	16
0.271482	366
0.274435	351
0.131003	197
0.034397	41
0.223284	310
0.049795	6
0.027331	6
0.037666	56
0.049900	48
0.233620	309
0.254502	340
0.248807	364
0.197867	340
0.207254	323
0.223917	284
0.630273	2462
0.076161	6
0.025749	10
0.234042	324
0.027014	23
0.222546	324
0.229718	303
0.072681	29
0.040092	15
0.186477	260
0.283927	337
0.031233	37
0.053591	5
0.214636	294
0.030178	25
0.244905	302
0.242479	331
0.143342	178
0.026065	12
0.252498	320
0.048213	7
0.023745	41
0.205039	294
0.236889	318
0.215374	323
0.212527	278
0.116132	197
0.217589	281
0.244272	195
0.242268	306
0.239209	314
0.036401	7
0.222124	329
0.230034	292
0.032182	42
0.103793	3
0.063611	4
0.026382	16
0.222124	317
0.280868	322
0.026909	8
0.242901	297
0.028807	12
0.185844	312
0.209047	266
0.219066	321
0.213898	332
0.179411	303
0.046631	38
0.235835	276
0.182048	274
0.218117	303
0.044205	40
0.031338	7
0.183419	295
0.224550	313
0.202402	305
0.215585	313
0.186161	300
0.153783	234
0.216535	326
0.027647	32
0.237944	323
0.024905	21
0.041568	42
0.036190	8
0.038721	50
0.215691	304
0.224128	273
0.253131	292
0.053170	70
0.199555	311
0.090399	129
0.023956	37
0.242162	338
0.235307	339
0.233831	344
0.212105	338
0.247330	315
0.142709	152
0.057915	72
0.030178	40
0.214320	312
0.028913	14
0.034502	11
0.043783	9
0.035557	2
0.024483	9
0.171607	282
0.058443	17
0.251760	319
0.192805	288
0.024589	36
0.027858	14
0.111913	159
0.230350	342
0.211261	334
0.201664	329
0.027014	26
0.053275	67
0.317992	337
0.032920	25
0.256928	331
0.099258	100
0.025327	8
0.180993	317
0.192910	263
0.219593	349
0.022690	40
0.227714	333
0.034291	44
0.229401	327
0.233514	309
0.022901	31
0.243006	306
0.037139	62
0.239315	314
0.255557	297
0.064665	65
0.249440	336
0.074684	10
0.065931	8
0.040303	26
0.035557	39
0.207886	280
0.229612	302
0.207992	316
0.203668	299
0.060236	61
0.024800	37
0.035135	37
0.277388	341
0.249861	315
0.056017	22
0.195758	297
0.055068	8
0.028385	6
0.232143	281
0.028069	28
