Pulse height	Charge integral
0.246520	357
0.145771	204
0.278662	332
0.134442	172
0.278662	340
0.238827	328
0.292205	357
0.214641	278
0.209161	269
0.257849	333
0.245150	340
0.153043	192
0.231977	322
0.061305	50
0.193247	284
0.241725	326
0.168693	216
0.283721	336
0.239248	341
0.223704	319
0.259430	311
0.273657	332
0.189559	254
0.195619	276
0.210373	283
0.228288	307
0.271496	338
0.263803	330
0.268019	342
0.237615	330
0.216696	314
0.178019	332
0.238194	341
0.268809	330
0.242304	340
0.234822	323
0.201520	329
0.291572	343
0.226075	301
0.220911	334
0.183499	276
0.241461	298
0.213376	344
0.073477	75
0.229131	304
0.280981	354
0.235981	338
0.213534	283
0.239881	331
0.215958	314
0.229237	323
0.226760	310
0.219699	315
0.241093	344
0.253950	326
0.224652	318
0.235876	329
0.224705	346
0.190982	293
0.225285	328
0.241461	333
0.236034	312
0.220648	302
0.198411	246
0.248048	303
0.273499	339
0.235823	320
0.229289	307
0.256321	340
0.185133	289
0.063676	8
0.239564	303
0.236719	340
0.253950	306
0.244518	294
0.249049	315
0.264435	329
0.261221	339
0.239090	326
0.208950	316
0.069683	10
0.188927	320
0.229816	333
0.252316	332
0.255741	339
0.280559	370
0.189085	334
0.268651	369
0.270126	341
0.247468	333
0.246731	339
0.230027	337
0.290518	332
0.306959	348
0.249471	317
0.218962	333
0.250577	334
0.234769	326
0.221280	351
0.176807	279
0.279611	335
0.234980	338
0.175701	209
0.262380	308
0.291783	357
0.221175	284
0.240249	322
0.260536	329
0.216169	327
0.264857	318
0.209846	311
0.221860	321
0.316180	338
0.036855	42
0.215378	300
0.061357	19
0.042915	57
0.210952	318
0.198306	326
0.228815	317
0.236666	326
0.210373	294
0.097083	115
0.232925	337
0.213745	311
0.247784	356
0.211532	336
0.234822	314
0.127329	182
0.215431	316
0.231608	326
0.243253	345
0.285723	322
0.285776	340
0.243253	352
0.278873	331
0.209477	339
0.190244	315
0.187925	216
0.088231	12
0.241251	315
0.224810	331
0.223493	293
0.240144	312
0.042388	32
0.252158	341
0.113576	123
0.194617	305
0.234717	349
0.289781	349
0.232240	348
0.178915	293
0.242041	334
0.182498	311
0.217644	295
0.220753	325
0.239564	322
0.225759	339
0.249418	296
0.255109	332
0.254898	300
0.273182	347
0.242831	345
0.197726	285
0.205261	302
0.090549	66
0.266174	336
0.260958	301
0.221596	310
0.221333	313
0.046498	4
0.081328	83
0.267070	345
0.198675	307
0.180180	257
0.251526	324
0.232609	337
0.214377	336
0.265858	350
0.194986	322
0.223177	340
0.237720	324
0.243253	356
0.257217	360
0.195935	282
0.236297	298
0.264014	366
0.270811	334
0.333410	363
0.242673	315
0.222018	314
0.196989	294
0.207738	317
0.238352	352
0.225390	339
0.213692	318
0.292099	348
0.211795	283
0.121901	28
0.199939	290
0.245677	341
0.226075	341
0.247679	331
0.219910	326
0.223124	315
0.195829	305
0.241145	337
0.200150	302
0.238142	342
0.229711	344
0.167270	302
0.236561	301
0.247943	304
0.272497	329
0.240618	312
0.227076	272
0.181971	274
0.272023	334
0.214641	306
0.244518	348
0.254160	320
0.199096	278
0.246783	355
0.283774	346
0.228077	323
0.236614	351
0.218803	340
0.223967	313
0.241830	316
0.287884	347
0.268071	336
0.220121	326
0.216327	308
0.220226	318
0.205630	333
0.248206	311
0.245308	331
0.211268	297
0.044074	3
0.211479	299
0.244096	337
0.223019	316
0.250472	354
0.210320	320
0.244623	331
0.223493	341
0.217275	248
0.250893	320
0.227392	312
0.255741	329
0.242568	327
0.237878	325
0.229447	309
0.238089	326
0.256057	328
0.258323	331
0.255741	305
0.301795	331
0.166743	316
0.263434	339
0.230923	355
0.259482	344
0.212533	280
0.209055	320
0.216011	276
0.233452	310
0.189664	294
0.049185	2
0.245677	330
0.209161	342
0.251051	337
0.236614	347
0.253950	343
0.229974	325
0.235349	318
0.210531	290
0.290887	340
0.180548	211
0.043336	5
0.225232	329
0.193564	298
0.239828	360
0.243358	316
0.252369	323
0.240671	315
0.265279	346
0.230712	342
0.240934	321
0.218540	307
